fiss_density_watersheds_id,elev_min,elev_max,elev_mean,elev_percentile_60
9988,317,1682,1106.9779128924183,1212.8000000000002
9989,1132,1482,1284.3375680580762,1318
9990,1189,1586,1392.7455540355677,1418
9992,1119,1394,1258.2130872483222,1273
10013,713,865,791.9866383505885,804
9993,805,1724,1304.1987386555913,1367
10012,1576,2011,1818.0443716497916,1860
9994,1275,2207,1756.2681924602227,1821
9995,820,2143,1478.7575996150986,1551
9996,1144,1805,1378.8433522772752,1384
9997,1707,2036,1847.4830225711482,1846
10001,1052,1316,1186.3593267449044,1205
10002,924,2259,1617.4828501880947,1805
10005,1428,2046,1686.4800358905338,1717
10016,416,1323,876.6917965755175,950
10007,1435,2638,2025.5438133874238,2102
10008,1150,1791,1489.100246507806,1556
10014,1352,2221,1617.517052922864,1619
10019,220,970,450.0618556701031,458.4
10015,759,887,833.8839445203321,845
10017,995,1408,1154.5381289308177,1171
10018,765,2182,1615.0507859733978,1741
10020,9,341,166.75248102743726,184
10021,261,1426,749.3778882714244,843
10022,973,2717,1685.170094447973,1795
10023,1405,1988,1692.914467961728,1737.7999999999997
10024,1294,3186,2044.2689982623167,2175
10311,1204,1492,1352.195406626506,1375
10025,982,1379,1117.4499135312667,1131
10260,1514,2184,1814.2630937880633,1830
10026,230,405,303.5375670840787,307
10029,692,1150,924.4408806740962,942
10035,1348,1780,1466.9640308722878,1482
10028,1358,2023,1625.1365282215122,1648
10034,1116,1167,1136.020559407124,1138
10030,842,1898,1378.5836650503004,1419
10031,1069,1467,1269.1149646756583,1300
10032,37,516,239.4304932735426,253
10033,965,1051,988.876130198915,991
10037,951,1112,999.65834818776,1004
10038,1707,1770,1731.021590909091,1734
10043,1237,1451,1346.7063806777217,1367
10044,265,1088,508.59442724458205,499.4
10039,639,2178,1414.2359622346844,1606.6000000000004
10040,1261,1626,1473.7687296416939,1514
10041,236,1952,1109.8334505749938,1214
10046,740,1169,877.0157873540072,879
10066,11,886,293.2886937431394,294
10047,535,1234,817.135241101889,867
10048,1057,1210,1125.9988735567447,1132
10049,843,893,867.6750237416904,873
10051,893,1138,1018.1837707580282,1029
10052,1439,2182,1823.508895478132,1872
10053,995,1213,1115.3340227507756,1132
10312,874,1167,1046.6353383458647,1073
10054,434,1503,895.8191742273543,961
10055,712,861,783.8345864661654,794
10177,781,1056,849.0715644317642,846
10056,1134,1305,1215.7935319148937,1219
10063,676,1950,1288.9904426559356,1403
10313,358,480,413.9727272727273,426
10057,868,1173,983.8786320498349,1001
10181,979,1195,1085.6967329545455,1102
10058,1002,2475,1780.4201287910262,1984.1999999999998
10188,51,167,111.168410041841,124
10060,25,1718,844.4913393133313,1024
10061,582,941,684.9514976559984,684
10064,944,2495,1788.0874039613732,2030.6000000000004
10065,1008,1249,1179.1538028169014,1203
10068,775,1733,1134.2590544650263,1163
10070,1103,1469,1359.6807904237128,1418
10071,876,931,897.556179775281,900
10069,753,1721,1220.67767780106,1315
10084,1197,1694,1506.1639784946237,1605
10072,814,1211,963.8016322451699,984
10074,884,1070,959.5422525407212,963
10075,1086,1272,1168.840327533265,1184
10076,1141,1383,1262.7814257360237,1277
10077,1105,1588,1330.0120663650075,1396
10320,693,812,762.0391682785299,766
10078,805,896,847.1439711359404,855
10079,1512,1892,1708.6397928994083,1743
10085,788,829,802.6073131955485,804
10080,1268,1994,1651.425166997653,1702
10086,1078,1220,1121.0737946867825,1125
10189,1132,1415,1308.0081344902387,1342
10081,1135,1735,1406.7577934204855,1461
